City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,Mugia,43.1041,-9.2179,13.42,62,52,8.53,ES,1701692876
141,Constantia,44.1833,28.65,4.38,54,99,3.88,RO,1701692753
142,Pacific Grove,36.6177,-121.9166,12.32,87,0,0.89,US,1701692877
143,Ma'An,26.9775,110.7211,12.68,78,47,0.72,CN,1701692878
144,Zoucheng,35.4006,116.9656,8.42,36,3,1.55,CN,1701692879
145,Niksic,42.7731,18.9445,9.92,55,8,0.96,ME,1701692879
146,Badger,64.8,-147.5333,-18.13,71,40,0.0,US,1701692880
147,Leua,48.2156,18.6071,1.94,74,20,3.16,SK,1701692881
148,Visby,57.6409,18.296,-3.88,86,75,5.66,SE,1701692853
149,Amos,48.5669,-78.1162,-10.56,94,100,3.2,CA,1701692883
150,Selfoss,63.9331,-20.9971,-1.91,61,100,3.99,IS,1701692885
151,Stanley,54.868,-1.6985,4.87,96,75,7.2,GB,1701692886
152,Chyhyryn,49.0838,32.6555,0.59,63,75,4.14,UA,1701692887
153,Sitka,57.0531,-135.33,6.94,76,100,5.66,US,1701692888
154,Srivardhan,18.0333,73.0167,28.12,69,54,4.24,IN,1701692889
155,Thompson,55.7435,-97.8558,-6.91,93,100,1.03,CA,1701692725
156,Palmer,42.1584,-72.3287,4.23,80,94,1.57,US,1701692891
157,Kourou,5.1552,-52.6478,29.03,81,53,3.94,GF,1701692891
158,Port Lincoln,-34.7333,135.8667,17.86,77,76,5.65,AU,1701692893
159,Ifanadiana,-21.3,47.6333,28.43,44,73,2.59,MG,1701692893
160,Santiago De Cao,-7.9589,-79.2392,19.07,88,91,2.06,PE,1701692895
161,Afaahiti,-17.75,-149.2833,24.93,76,88,8.85,PF,1701692896
162,Castillos,-34.1667,-53.8333,17.3,48,10,4.93,UY,1701692897
163,Puerto Ayora,-0.7393,-90.3518,23.64,92,76,3.13,EC,1701692899
164,Ta`U,-14.2336,-169.5144,27.34,76,8,9.96,AS,1701692900
165,Micheweni,-4.9667,39.8333,29.26,66,61,3.97,TZ,1701692901
166,Cacabelos,42.6002,-6.7237,10.32,92,100,1.34,ES,1701692902
167,Hithadhoo,-0.6,73.0833,28.24,76,72,2.94,MV,1701692903
168,Saint-Pierre,-21.3393,55.4781,26.82,65,8,3.09,RE,1701692904
